0.02;1000
0.04;1000
0;1000
0.15;1000
0;1000
0.2;1000
0;1000
0.277;1500
0;1000
0.04;1500
0.06;1000
0;1500
0.20;1000
0;1000
0.12;1000
0;1000
0.12;20
0.01;20
0.2;20
0;20
0.22;20
0;20
0.17;40
0;40
0.1;40
0;40
0.22;10
0;10
0.22;10
0;1
0.22;1
0;1
0.22;1
0;1
0.22;1
0;1
0.22;1
0;1
0.22;1
0;1
0.22;1
0;1
0.22;1
0;1
0.22;1
0;1
0.22;1
0;1
0.22;1
0;1
0.22;1
0;1
0.22;1
0;1
0.22;1
0;1
0.22;1
0;1
0.22;1
0;1
0.22;1
0;1
0.22;1
0;1
0.22;1
0;1
0.22;1
0;1
0.22;1
0;1
0.22;1
0;1
0.22;1
0;1
0.22;1
0;1
0.22;1
0;1
0.22;1
0;1
0.22;1
0;1
0.22;1
0;1
0.22;1
0;1000
